generation,tempsmin,tempsmax,tempsmoy
51,97.14294030005112,211.90711699984968,166.64199277498605
52,117.76076169987209,221.1977691000793,165.19507956665862
53,125.93446360016242,207.8144289997872,178.10536560004888
54,134.6132219999563,228.38099769991823,181.62522738333791
55,134.61004920001142,242.60435759997927,186.08545790835828
56,152.16230390011333,205.82255480019376,187.97205582499737
57,133.3378469001036,220.9660626000259,188.26530432501264
58,135.06794530013576,246.52480419981293,196.2163942583138
59,130.06263559986837,233.78199449996464,183.36313344169562
60,138.77263549994677,202.49386920011602,172.08194580833273
61,144.0113100002054,221.39631950017065,188.0240388166858
62,137.67467559990473,240.246522200061,190.48306591665218
63,115.80825060000643,197.0984652999323,168.1595213332912
64,136.1802288000472,222.98030219995417,186.6486124416309
65,139.87534680007957,217.06356630008668,184.35389210834788
66,137.02846869989298,235.0513470999431,193.01578471664106
67,130.98706219997257,217.76138769998215,171.36689507499491
68,155.84296589996666,232.74664339981973,199.6865975332912
69,143.58201120002195,226.32189269992523,202.62034221668728
70,137.39892870001495,216.42840490001254,186.51931933333012
71,152.74216179992072,209.6996283000335,188.85094245833656
72,142.722414100077,246.0617341999896,197.94555690832203
73,125.49833610001951,208.4911984000355,191.515507291692
74,164.3024198000785,243.26074970001355,201.8777885500264
75,149.84319910011254,259.05179710011,202.50334879164197
76,147.73629550007172,249.58947240002453,193.215618833298
77,171.57073070015758,241.97399579989724,206.53877279164348
78,137.93206949997693,246.72166989999823,188.49660728332432
79,107.3106174999848,222.3743497999385,181.14459340833127
80,125.04450670001097,224.40158679988235,189.540314716675
81,161.29299029987305,231.69289100007154,204.59695196665902
82,144.97674710000865,210.25460330001079,183.55409309999473
83,150.26343249995261,260.1467191998381,212.1507784749459
84,139.6639115998987,220.40055770007893,193.7177191916659
85,156.68818120006472,217.12595900008455,194.19414902499798
86,129.24311279994436,237.79268349986523,205.29337560833665
87,138.21952490019612,259.6515470999293,208.50395626671767
88,158.98917370010167,244.58548889984377,219.91044591667983
89,155.82870029984042,233.43211269984022,214.49871587499123
90,152.22109190002084,281.5533223000821,216.88624990832372
91,127.57363980007358,225.22899959981441,183.96934781663973
92,148.30010089999996,248.20129099977203,209.44722984998953
93,135.8502738000825,257.0236072000116,198.1113359333443
94,189.61988570005633,262.2692444999702,216.51560775000448
95,191.0372748998925,248.31137080001645,226.22263628331712
96,150.844163000118,245.70340029988438,210.06538074997175
97,164.7094049002044,274.9500378998928,229.07275862498986
98,180.35315229999833,248.83407720015384,214.2345196583386
99,163.70728620002046,260.3081781999208,225.54991235001944
100,185.06851510005072,291.0042890999466,249.12582873331849
101,207.04503010003828,275.2006958001293,234.60303607501555
102,225.91494249994867,312.4328198998701,278.94986877497286
103,215.2551756000612,309.8021731998306,264.84775989168946
104,197.2734290000517,284.1445347999688,249.95392844164357
105,194.4459897999186,291.7994536999613,253.39621101659336
106,183.26108129997738,312.1993557999376,252.55682575000296
107,218.1533035999164,294.2802144000307,273.03665677496855
108,179.82997249998152,298.5396555000916,240.34905535832513
109,194.02714750007726,316.67183319991454,272.2995407333171
110,209.67830040003173,342.0171539001167,276.3945907500262
111,218.35460060019977,328.4514101999812,266.05942983335507
112,217.49552370002493,319.0155046998989,285.01987876669347
113,198.4796313000843,354.05783890001476,259.62079242502415
114,213.9449509999249,340.0957878998015,276.8021639250025
115,217.33296440006234,309.4399413000792,263.6089064166881
116,196.87884050002322,282.63017100002617,250.40390117497495
117,214.92288460000418,300.5143879998941,258.7130764749988
118,179.4940017000772,299.0809988998808,267.92607730832725
119,224.39308939990588,306.99780579982325,275.80024214164587
120,217.75639300001785,326.3594586001709,267.1908423000132
121,216.39104790007696,293.47785530006513,259.39127508329693
122,178.52336110011674,339.7591107999906,248.6464256249795
123,196.69484049989842,305.36181179992855,260.0711867833161
124,238.16414069989696,280.29703790019266,261.82471223338507
125,176.6575527000241,351.0347313999664,269.59597625837586
126,194.57056819996797,349.8523510999512,264.37692167501274
127,198.70668159984052,292.39782910002396,261.26608031668
128,231.0352099998854,300.48382379999384,270.18148054997437
129,199.6684250999242,309.6608261000365,247.82910687497738
130,193.5671191001311,278.2776955999434,248.25232717499603
131,216.08211140008643,325.3790728999302,280.11039497499587
132,218.00618129991926,351.28839169978164,289.9603320832636
133,197.60805919999257,297.554900099989,265.32863609997247
134,202.45750360004604,322.9030488000717,268.5052425750376
135,225.1467889000196,317.84055080008693,267.6485213083409
136,219.97373379999772,359.46011490002275,289.3220326166872
137,218.49790269997902,316.53785900003277,268.48763020829455
138,205.5909684000071,302.8716748999432,252.37894452499071
139,207.47382369986735,305.2863128001336,255.22354658332188
140,188.8429908999242,258.95687080011703,226.59943639164945
141,164.21204990008846,291.810658399947,236.54255990835372
142,181.62684379983693,310.4371595000848,239.1381518083314
