generation,tempsmin,tempsmax,tempsmoy
56,39.83887600000162,58.90398670000286,51.187468525001044
57,43.510345500006224,61.88802420000138,54.39876870833359
58,33.71581940000033,61.229861799998616,50.87159346666643
59,37.29872239999531,55.81377159999829,49.173773408332636
60,32.864201199998206,60.48236529999849,50.23729340833294
61,42.56197979999706,61.299326599997585,52.457168591665926
62,37.962817300001916,55.65476510000008,49.35123594999944
63,35.08685449999757,54.79810300000099,47.39924906666662
64,37.0408688000025,56.32604100000026,45.598215350000224
65,36.165834099992935,56.92202730000281,47.46834162499969
66,36.831350100001146,60.77527689999988,48.214762008333615
67,44.670152799997595,59.04101249999803,49.944401966666796
68,29.34026069999527,58.97629140000208,51.12418854999911
69,36.39638710000145,59.111493899996276,52.63524858333343
70,33.184657000005245,60.78915500000585,47.87646880833381
71,35.41544019999856,56.08829559999867,46.206332683332825
72,30.126284799996938,52.329005299994606,44.554211499998324
73,40.36492240000371,58.53572079999867,50.537650916666585
74,39.271066299996164,63.983339499995054,52.509809049999
75,40.07210369999666,60.780348399996,52.08876124166636
76,36.08955330000026,55.20963829999528,47.472383241666954
77,39.8148435999974,59.83163049999712,53.20781124999909
78,37.347229799997876,63.945995900001435,52.05182863333297
79,33.64889630000107,51.242764200003876,45.39962732500074
80,32.02931079999689,55.3540009999997,48.32424729999851
81,23.796690899995156,56.32609560000128,42.01092793333313
82,37.11089250000077,59.666554800001904,49.38817020833388
83,38.56757629999629,87.02880269999878,71.01381744999951
84,52.75695519999863,84.11542850000114,75.92156864999986
85,49.177330400001665,83.28381599999557,70.82730664166654
86,60.437034999995376,78.81185199999891,69.24279575000037
87,55.26723399999901,78.9609782999978,69.89876040000006
88,50.871406899997965,81.71803749999526,70.37758366666579
89,42.99216229999729,61.70894209999824,50.31891084166697
90,38.40355350000027,62.158357699998305,50.811252366666544
91,36.99714979999408,67.97113109999918,55.52618281666704
92,34.37606190000224,63.36569849999796,49.164213249998284
93,43.4148531000028,65.12250060000224,57.23862864166646
94,35.630511299998034,61.29581550000148,50.18245945833405
95,45.71338719999767,70.53320550000353,59.662206600000594
96,40.56623749999562,64.17123009999341,52.725115033331655
97,43.0259842000014,68.08746470000187,56.84415424166642
98,45.5069372999933,67.44902179999917,60.91274448333146
99,39.52389559999574,58.94283449999784,53.83876206666658
100,35.00915299999906,63.26987759999611,49.09390914999858
101,46.314424500000314,70.38129969999864,57.74243871666719
102,46.51626569999644,62.51491879999958,59.14484522500061
103,45.23396910000156,73.62704790000134,61.644429525000305
104,47.491294300001755,68.90208629999688,57.96361745000104
105,51.327418200002285,72.69484259999444,62.77899013333202
106,46.93191310000111,67.06385139999475,59.61029345833291
107,49.02171150000504,75.52711219999765,66.53295382500134
108,48.97466500000155,73.41599779999524,63.1340462499993
109,50.2088447999995,73.53087320000486,64.27887720833314
110,49.790995100003784,74.36605000000418,64.59446087500207
111,53.217898000002606,72.26119359999575,66.3269690916671
112,51.558664200005296,73.39796940000087,63.55345433333423
